Rank,Title,Year,Rating,Director,Actors,Number of User Ratings
238,The 400 Blows,1959,8.0,François Truffaut,"Jean-Pierre Léaud, Albert Rémy",115771
239,Persona,1966,8.0,Ingmar Bergman,"Bibi Andersson, Liv Ullmann",115910
240,La Haine,1995,8.0,Mathieu Kassovitz,"Vincent Cassel, Hubert Koundé",168735
241,My Father and My Son,2005,8.0,Cagan Irmak,"Çetin Tekindor, Fikret Kuskan",85734
242,Life of Brian,1979,8.0,Terry Jones,"Graham Chapman, John Cleese",393413
243,The Sound of Music,1965,8.0,Robert Wise,"Julie Andrews, Christopher Plummer",227233
244,It Happened One Night,1934,8.0,Frank Capra,"Clark Gable, Claudette Colbert",102452
245,The Handmaiden,2016,8.0,Park Chan-wook,"Kim Min-hee, Ha Jung-woo",139265
246,Gandhi,1982,8.0,Richard Attenborough,"Ben Kingsley, John Gielgud",228386
247,Aladdin,1992,8.0,Ron Clements,"Scott Weinger, Robin Williams",404552
248,The Help,2011,8.0,Tate Taylor,"Emma Stone, Viola Davis",450665
249,Beauty and the Beast,1991,8.0,Gary Trousdale,"Paige O'Hara, Robby Benson",443564
250,Jai Bhim,2021,8.0,T.J. Gnanavel,"Suriya, Lijo Mol Jose",189400
