Rank,Title,Year,Rating,Director,Actors,Number of User Ratings
172,Hachi: A Dog's Tale,2009,8.1,Lasse Hallström,"Richard Gere, Joan Allen",278307
173,Rush,2013,8.1,Ron Howard,"Daniel Brühl, Chris Hemsworth",469438
174,All Quiet on the Western Front,1930,8.1,Lewis Milestone,"Lew Ayres, Louis Wolheim",60910
175,Into the Wild,2007,8.1,Sean Penn,"Emile Hirsch, Vince Vaughn",612939
176,The Wizard of Oz,1939,8.1,Victor Fleming,"Judy Garland, Frank Morgan",390777
177,Logan,2017,8.1,James Mangold,"Hugh Jackman, Patrick Stewart",731774
178,Cool Hand Luke,1967,8.1,Stuart Rosenberg,"Paul Newman, George Kennedy",174761
179,Before Sunset,2004,8.1,Richard Linklater,"Ethan Hawke, Julie Delpy",257710
180,Spotlight,2015,8.1,Tom McCarthy,"Mark Ruffalo, Michael Keaton",460125
181,The Sound of Music,1965,8.1,Robert Wise,"Julie Andrews, Christopher Plummer",227233
182,The Terminator,1984,8.1,James Cameron,"Arnold Schwarzenegger, Linda Hamilton",843591
183,Inherit the Wind,1960,8.1,Stanley Kramer,"Spencer Tracy, Fredric March",29933
184,Paper Moon,1973,8.1,Peter Bogdanovich,"Ryan O'Neal, Tatum O'Neal",46982
185,White Heat,1949,8.1,Raoul Walsh,"James Cagney, Virginia Mayo",32542
186,The Exorcist,1973,8.0,William Friedkin,"Ellen Burstyn, Max von Sydow",393140
187,Ratatouille,2007,8.0,Brad Bird,"Brad Garrett, Lou Romano",705648
188,Groundhog Day,1993,8.0,Harold Ramis,"Bill Murray, Andie MacDowell",615854
189,Ace in the Hole,1951,8.0,Billy Wilder,"Kirk Douglas, Jan Sterling",35432
190,The Man Who Shot Liberty Valance,1962,8.0,John Ford,"James Stewart, John Wayne",75108
191,The Incredibles,2004,8.0,Brad Bird,"Craig T. Nelson, Samuel L. Jackson",712115
192,Gandhi,1982,8.0,Richard Attenborough,"Ben Kingsley, John Gielgud",228386
193,Life of Brian,1979,8.0,Terry Jones,"Graham Chapman, John Cleese",393413
194,Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.0,Gore Verbinski,"Johnny Depp, Geoffrey Rush",1090187
195,The Iron Giant,1999,8.0,Brad Bird,"Eli Marienthal, Harry Connick Jr.",187993
196,The Help,2011,8.0,Tate Taylor,"Emma Stone, Viola Davis",450665
197,"Paris, Texas",1984,8.0,Wim Wenders,"Harry Dean Stanton, Nastassja Kinski",103902
198,Dances with Wolves,1990,8.0,Kevin Costner,"Kevin Costner, Mary McDonnell",260747
199,Aladdin,1992,8.0,Ron Clements,"Scott Weinger, Robin Williams",404552
200,Beauty and the Beast,1991,8.0,Gary Trousdale,"Paige O'Hara, Robby Benson",443564
201,Roman Holiday,1953,8.0,William Wyler,"Gregory Peck, Audrey Hepburn",136824
202,Dune,2021,8.0,Denis Villeneuve,"Timothée Chalamet, Rebecca Ferguson",572628
203,Donnie Darko,2001,8.0,Richard Kelly,"Jake Gyllenhaal, Jena Malone",785150
204,Soul,2020,8.0,Pete Docter,"Jamie Foxx, Tina Fey",310369
205,Dog Day Afternoon,1975,8.0,Sidney Lumet,"Al Pacino, John Cazale",252843
206,Scent of a Woman,1992,8.0,Martin Brest,"Al Pacino, Chris O'Donnell",289483
207,JFK,1991,8.0,Oliver Stone,"Kevin Costner, Gary Oldman",153708
208,Guardians of the Galaxy,2014,8.0,James Gunn,"Chris Pratt, Vin Diesel",1142720
209,Kill Bill: Vol. 2,2004,8.0,Quentin Tarantino,"Uma Thurman, David Carradine",738346
210,The Shop Around the Corner,1940,8.0,Ernst Lubitsch,"Margaret Sullavan, James Stewart",32573
211,Lion,2016,8.0,Garth Davis,"Dev Patel, Nicole Kidman",232649
212,Song of the Sea,2014,8.0,Tomm Moore,"David Rawle, Brendan Gleeson",57495
213,Rosemary's Baby,1968,8.0,Roman Polanski,"Mia Farrow, John Cassavetes",211170
214,Butch Cassidy and the Sundance Kid,1969,8.0,George Roy Hill,"Paul Newman, Robert Redford",213430
215,The Princess Bride,1987,8.0,Rob Reiner,"Cary Elwes, Mandy Patinkin",421424
216,Slumdog Millionaire,2008,8.0,Danny Boyle,"Dev Patel, Freida Pinto",834293
217,Anatomy of a Murder,1959,8.0,Otto Preminger,"James Stewart, Lee Remick",65635
218,The Imitation Game,2014,8.0,Morten Tyldum,"Benedict Cumberbatch, Keira Knightley",750722
